dateData;groupe;editeur;progiciel;nbPsFacturation
201907;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201907;total;total;total;21680
201907;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;515
201907;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4762
201908;ASTERA;CERP ROUEN;LEO;113
201908;ASTERA;CERP ROUEN;LEO 2.0;814
201908;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1061
201908;GROUPE CEGEDIM;ASP LINE;PERIPHAR;120
201908;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4096
201908;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;820
201908;GROUPE CEGEDIM;SMART RX;OPUS;447
201908;GROUPE EQUASENS;EQUASENS;LGPI;8871
201908;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201908;total;total;total;21613
201908;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;508
201908;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4762
201909;ASTERA;CERP ROUEN;LEO;100
201909;ASTERA;CERP ROUEN;LEO 2.0;833
201909;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1096
201909;GROUPE CEGEDIM;ASP LINE;PERIPHAR;118
201909;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4071
201909;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;798
201909;GROUPE CEGEDIM;SMART RX;OPUS;444
201909;GROUPE EQUASENS;EQUASENS;LGPI;8886
201909;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201909;total;total;total;21648
201909;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;504
201909;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4797
201910;ASTERA;CERP ROUEN;LEO;84
201910;ASTERA;CERP ROUEN;LEO 2.0;847
201910;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1131
201910;GROUPE CEGEDIM;ASP LINE;PERIPHAR;112
201910;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4047
201910;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;762
201910;GROUPE CEGEDIM;SMART RX;OPUS;425
201910;GROUPE EQUASENS;EQUASENS;LGPI;8867
201910;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201910;total;total;total;21595
201910;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;498
201910;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4821
201911;ASTERA;CERP ROUEN;LEO;69
201911;ASTERA;CERP ROUEN;LEO 2.0;856
201911;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1151
201911;GROUPE CEGEDIM;ASP LINE;PERIPHAR;90
201911;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4031
201911;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;743
201911;GROUPE CEGEDIM;SMART RX;OPUS;419
201911;GROUPE EQUASENS;EQUASENS;LGPI;8857
201911;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201911;total;total;total;21568
201911;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;497
201911;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4854
201912;ASTERA;CERP ROUEN;LEO;59
201912;ASTERA;CERP ROUEN;LEO 2.0;865
201912;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1179
201912;GROUPE CEGEDIM;ASP LINE;PERIPHAR;66
201912;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4045
201912;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;712
201912;GROUPE CEGEDIM;SMART RX;OPUS;401
201912;GROUPE EQUASENS;EQUASENS;LGPI;8848
201912;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201912;total;total;total;21552
201912;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;496
201912;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4880
202001;ASTERA;CERP ROUEN;LEO;50
202001;ASTERA;CERP ROUEN;LEO 2.0;873
202001;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1207
202001;GROUPE CEGEDIM;ASP LINE;PERIPHAR;52
202001;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4042
202001;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;695
202001;GROUPE CEGEDIM;SMART RX;OPUS;400
202001;GROUPE EQUASENS;EQUASENS;LGPI;8848
202001;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202001;total;total;total;21586
202001;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;485
202001;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4933
202002;ASTERA;CERP ROUEN;LEO;44
202002;ASTERA;CERP ROUEN;LEO 2.0;885
202002;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1233
202002;GROUPE CEGEDIM;ASP LINE;PERIPHAR;36
202002;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4045
202002;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;658
202002;GROUPE CEGEDIM;SMART RX;OPUS;393
202002;GROUPE EQUASENS;EQUASENS;LGPI;8847
202002;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202002;total;total;total;21570
202002;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;480
202002;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4948
202003;ASTERA;CERP ROUEN;LEO;39
202003;ASTERA;CERP ROUEN;LEO 2.0;876
202003;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1254
202003;GROUPE CEGEDIM;ASP LINE;PERIPHAR;33
202003;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4019
202003;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;634
202003;GROUPE CEGEDIM;SMART RX;OPUS;385
202003;GROUPE EQUASENS;EQUASENS;LGPI;8823
202003;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202003;total;total;total;21502
202003;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;478
202003;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4960
202004;ASTERA;CERP ROUEN;LEO;41
202004;ASTERA;CERP ROUEN;LEO 2.0;876
202004;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1259
202004;GROUPE CEGEDIM;ASP LINE;PERIPHAR;26
202004;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4006
202004;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;631
202004;GROUPE CEGEDIM;SMART RX;OPUS;383
202004;GROUPE EQUASENS;EQUASENS;LGPI;8831
202004;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202004;total;total;total;21488
202004;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;478
202004;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4956
202005;ASTERA;CERP ROUEN;LEO;38
202005;ASTERA;CERP ROUEN;LEO 2.0;873
202005;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1262
202005;GROUPE CEGEDIM;ASP LINE;PERIPHAR;20
202005;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3997
202005;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;623
202005;GROUPE CEGEDIM;SMART RX;OPUS;377
202005;GROUPE EQUASENS;EQUASENS;LGPI;8809
202005;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202005;total;total;total;21440
202005;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;472
202005;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4968
202006;ASTERA;CERP ROUEN;LEO;36
202006;ASTERA;CERP ROUEN;LEO 2.0;880
202006;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1292
202006;GROUPE CEGEDIM;ASP LINE;PERIPHAR;19
202006;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3964
202006;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;593
202006;GROUPE CEGEDIM;SMART RX;OPUS;369
202006;GROUPE EQUASENS;EQUASENS;LGPI;8766
202006;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202006;total;total;total;21385
202006;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;467
202006;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4998
202007;ASTERA;CERP ROUEN;LEO;30
202007;ASTERA;CERP ROUEN;LEO 2.0;895
202007;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1319
202007;GROUPE CEGEDIM;ASP LINE;PERIPHAR;15
202007;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3955
202007;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;577
202007;GROUPE CEGEDIM;SMART RX;OPUS;365
202007;GROUPE EQUASENS;EQUASENS;LGPI;8790
202007;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202007;total;total;total;21454
202007;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;459
202007;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;5048
202008;ASTERA;CERP ROUEN;LEO;27
202008;ASTERA;CERP ROUEN;LEO 2.0;893
202008;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1331
202008;GROUPE CEGEDIM;ASP LINE;PERIPHAR;17
202008;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3929
202008;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;565
202008;GROUPE CEGEDIM;SMART RX;OPUS;360
202008;GROUPE EQUASENS;EQUASENS;LGPI;8745
202008;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202008;total;total;total;21360
202008;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;450
202008;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;5042
202009;ASTERA;CERP ROUEN;LEO;23
202009;ASTERA;CERP ROUEN;LEO 2.0;912
202009;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1378
202009;GROUPE CEGEDIM;ASP LINE;PERIPHAR;10
202009;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3928
202009;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;526
202009;GROUPE CEGEDIM;SMART RX;OPUS;343
202009;GROUPE EQUASENS;EQUASENS;LGPI;8716
202009;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202009;total;total;total;21356
202009;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;440
202009;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;5079
202010;ASTERA;CERP ROUEN;LEO;19
202010;ASTERA;CERP ROUEN;LEO 2.0;922
202010;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1411
202010;GROUPE CEGEDIM;ASP LINE;PERIPHAR;9
202010;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3921
202010;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;501
202010;GROUPE CEGEDIM;SMART RX;OPUS;335
202010;GROUPE EQUASENS;EQUASENS;LGPI;8749
202010;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202010;total;total;total;21415
202010;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;427
202010;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;5120
202011;ASTERA;CERP ROUEN;LEO;15
202011;ASTERA;CERP ROUEN;LEO 2.0;936
202011;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1422
202011;GROUPE CEGEDIM;ASP LINE;PERIPHAR;9
202011;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3924
202011;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;484
202011;GROUPE CEGEDIM;SMART RX;OPUS;325
202011;GROUPE EQUASENS;EQUASENS;LGPI;8735
202011;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202011;total;total;total;21387
202011;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;403
202011;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;5133
202012;ASTERA;CERP ROUEN;LEO;12
202012;ASTERA;CERP ROUEN;LEO 2.0;955
202012;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1439
202012;GROUPE CEGEDIM;ASP LINE;PERIPHAR;8
202012;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3908
202012;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;476
202012;GROUPE CEGEDIM;SMART RX;OPUS;318
202012;GROUPE EQUASENS;EQUASENS;LGPI;8731
202012;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202012;total;total;total;21401
202012;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;386
202012;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;5167
202101;ASTERA;CERP ROUEN;LEO;10
202101;ASTERA;CERP ROUEN;LEO 2.0;971
202101;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1451
202101;GROUPE CEGEDIM;ASP LINE;PERIPHAR;6
202101;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3887
202101;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;467
202101;GROUPE CEGEDIM;SMART RX;OPUS;312
202101;GROUPE EQUASENS;EQUASENS;LGPI;8739
202101;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202101;total;total;total;21412
202101;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;367
202101;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;5201
202102;ASTERA;CERP ROUEN;LEO;8
202102;ASTERA;CERP ROUEN;LEO 2.0;980
202102;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1458
202102;GROUPE CEGEDIM;ASP LINE;PERIPHAR;4
202102;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;3845
202102;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;457
202102;GROUPE CEGEDIM;SMART RX;OPUS;297
202102;GROUPE EQUASENS;EQUASENS;LGPI;8686
202102;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
202102;total;total;total;21300
