dateData;groupe;editeur;progiciel;nbPsFacturation
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;1
201902;SOFIA DEVELOPPEMENT;TELEVITALE;INFIRMIER;4
201902;total;total;total;87260
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;455
201902;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;1004
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE;13646
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE YOU - E.MOTION;10034
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;157
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;6251
201902;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;7715
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;2
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;1
201902;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;1
201902;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;13
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;539
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;118
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1827
201903;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;11785
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;63
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;4196
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201903;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;7496
201903;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;125
201903;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;371
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;732
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;338
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;16
201903;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;67
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;3626
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;4161
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;2
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1477
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;3488
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;2
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;4377
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3924
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;1
201903;SOFIA DEVELOPPEMENT;TELEVITALE;INFIRMIER;4
201903;total;total;total;88613
201903;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;458
201903;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;1011
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE;13544
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE YOU - E.MOTION;10602
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;154
201903;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;6295
201903;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;7787
201903;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;3
201903;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;2
201903;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;1
201903;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;13
201903;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;541
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;117
201904;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1825
201904;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;11798
201904;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;63
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;4193
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201904;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;7521
201904;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;121
201904;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;368
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;708
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;333
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;16
201904;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;68
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;3584
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;4235
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;2
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1419
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;3452
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;3
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;4392
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3894
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;1
201904;SOFIA DEVELOPPEMENT;TELEVITALE;INFIRMIER;4
201904;total;total;total;88440
201904;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;452
201904;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;1015
201904;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE;13199
201904;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE YOU - E.MOTION;10910
201904;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;152
201904;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;6260
201904;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;7775
201904;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;3
201904;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;1
201904;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;1
201904;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;14
201904;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;535
201905;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;114
201905;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1848
201905;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;11792
201905;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;63
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;4180
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201905;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;7628
201905;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;122
201905;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;373
201905;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;704
201905;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;329
201905;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;16
201905;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;67
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;3592
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;4324
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;2
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1429
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;3502
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;2
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;4368
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3943
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;1
201905;SOFIA DEVELOPPEMENT;TELEVITALE;INFIRMIER;6
201905;total;total;total;88869
201905;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;447
201905;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;1030
201905;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE;12944
201905;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE YOU - E.MOTION;11277
201905;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;149
201905;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;6242
201905;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;7826
201905;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;2
201905;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;1
201905;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;1
201905;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;14
201905;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;525
201906;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;115
201906;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1774
201906;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;11725
201906;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;64
201906;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;4109
201906;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201906;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;7660
201906;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;124
201906;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;360
201906;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;702
201906;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;331
201906;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;15
201906;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;65
201906;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;3498
201906;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;4354
201906;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;2
201906;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1346
