dateData;groupe;editeur;progiciel;nbPsFacturation
202001;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
202001;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202002;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;392
202002;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202002;total;total;total;798
202002;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;401
202002;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;3
202002;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202003;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;334
202003;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202003;total;total;total;742
202003;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;403
202003;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;3
202003;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202004;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;67
202004;total;total;total;220
202004;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;151
202004;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;1
202004;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202005;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;295
202005;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202005;total;total;total;703
202005;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;402
202005;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202005;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202006;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;357
202006;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202006;total;total;total;831
202006;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;468
202006;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202006;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202007;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;376
202007;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202007;total;total;total;906
202007;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;524
202007;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202007;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202008;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;339
202008;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202008;total;total;total;842
202008;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;499
202008;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
202008;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202009;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;372
202009;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202009;total;total;total;924
202009;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;546
202009;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202009;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202010;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;410
202010;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;1
202010;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202010;total;total;total;1009
202010;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;591
202010;__NO_GROUP__IDM;IDM;IDM SOFTWARE;1
202010;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202010;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202011;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;445
202011;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;1
202011;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202011;total;total;total;1047
202011;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;595
202011;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202011;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202012;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;487
202012;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;1
202012;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202012;total;total;total;1134
202012;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;641
202012;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;3
202012;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202101;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;531
202101;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;1
202101;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202101;total;total;total;1192
202101;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
202101;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;656
202101;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;1
202101;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202102;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;541
202102;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;3
202102;REFLEX HOLDING;CRISTALLIN;IRRIS;1
202102;total;total;total;1233
202102;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
202102;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;682
202102;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202102;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202103;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;573
202103;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;6
202103;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;1
202103;total;total;total;1330
202103;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
202103;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;744
202103;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202103;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
202104;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;576
202104;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;8
202104;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;1
202104;total;total;total;1376
202104;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
202104;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;784
202104;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202104;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;2
202105;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;599
202105;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;8
